NodeName,X,Y
High income,-0.15531414555474288,0.7079317839812209
Aruba,-0.09188306523236561,0.8958451378325796
Low income,-0.5996471805895258,-0.15345660125761057
Afghanistan,-0.597121416360515,-0.25655919925121196
Lower middle income,-0.2842506537145998,-0.8069897831708401
Angola,-0.2250958393064632,-0.896939522047662
Upper middle income,0.8131736435923547,-0.03755885979375162
Albania,0.9299430992251406,0.0626571965042566
Andorra,-0.2053562477904329,0.805468784853371
,0.013533154566527445,-0.09346997222544393
Arab World,0.0991492623875984,-0.012287930326008912
United Arab Emirates,-0.1275952926117931,0.8280381014351819
Argentina,0.7411208729711615,-0.10730976229819487
Armenia,-0.345556493058969,-0.8915256126888356
American Samoa,0.7795328538749308,-0.09058088794100025
Antigua and Barbuda,-0.17677302041165271,0.8760422779816147
Australia,-0.09010531758140386,0.8175847646682854
Austria,-0.17184161543625234,0.5981574616337468
Azerbaijan,0.9950925136264758,-0.08331957780319608
Burundi,-0.7087114811895222,-0.05385776407848439
Belgium,-0.09439547868966763,0.6497058445466813
Benin,-0.6505046665655612,-0.03582201249464021
Burkina Faso,-0.6966832392090438,-0.2710255628112691
Bangladesh,-0.3809490241068156,-0.8886307700456713
Bulgaria,0.9592662017896108,0.0746498365846624
Bahrain,-0.14678255857065112,0.9037457899174041
The Bahamas,-0.1407619688811756,0.5896673645136516
Bosnia and Herzegovina,0.971260933228772,0.050598352763224025
Belarus,0.9258453734091421,-0.10265062035696423
Belize,0.7529995645018663,0.053762172667440274
Bermuda,-0.31503964374484633,0.6580611791970047
Bolivia,-0.31144487623416967,-0.9515166857366478
Brazil,0.8936661840469665,-0.1220918390152532
Barbados,-0.19660282923791325,0.759339874230234
Brunei,-0.25264322243579473,0.6518266652325
Bhutan,-0.4035715530702148,-0.9096020051054259
Botswana,0.8597455437367265,-0.08851340664619106
Central African Republic,-0.6671365736722852,-0.09576210069203737
Canada,-0.28649803002682606,0.6667319937584032
Central Europe and the Baltics,0.030950730643554112,-0.17427994444521905
Switzerland,-0.037571944514538616,0.8496525767842409
Channel Islands,-0.0700990333477475,0.7830281589292398
Chile,-0.33274453537785403,0.7586986117559639
China,0.8741738026603452,-0.032650586855351396
Côte d'Ivoire,-0.22756211396858309,-0.782933364681848
Cameroon,-0.4184048617615244,-0.8333291528949507
Dem. Rep. Congo,-0.7274701963388156,-0.07240787794456717
Congo,-0.3436124247925713,-0.9447561245697618
Colombia,0.9830404194208062,-0.0024661974289061184
Comoros,-0.7218979320100292,-0.25606192971370717
Cabo Verde,-0.3038234919121606,-0.9935810845993631
Costa Rica,0.9468450226867827,-0.159168834525049
Caribbean small states,-0.016006789521901262,-0.16128602481003831
Cuba,0.7408312458326689,0.01829665549771716
Curaçao,-0.03180213746976545,0.6543469740754561
Cayman Islands,-0.29363622565721365,0.6303011728996116
Cyprus,-0.2651193236378302,0.837772402137291
Czech Republic,-0.1159071732254754,0.7895251687381337
Germany,-0.23610069147754903,0.7793554197086991
Djibouti,-0.3415417602608873,-0.7689892011986437
Dominica,0.9931675155755466,0.025312682591807696
Denmark,-0.20428146718483736,0.8501904457713377
